INFO: 2023-01-26 22:10:17,061: Detect terminal size change: (rows: 16, cols: 151)
INFO: 2023-01-26 22:10:17,064: Regist window: (TimelineHeaderWindow, window_id: 1, component_id: 0)
INFO: 2023-01-26 22:10:17,064: Regist window: (StatusBarWindow, window_id: 2, component_id: 1)
INFO: 2023-01-26 22:10:17,064: Regist window: (TimelineWindow, window_id: 3, component_id: 2)
INFO: 2023-01-26 22:10:17,064: Regist window: (DetailWindow, window_id: 4, component_id: 3)
ERROR: 2023-01-26 22:23:22,179: HTTPSConnectionPool(host='api.twitter.com', port=443): Read timed out. (read timeout=None)
INFO: 2023-01-26 22:23:23,434: 76 Tweet(s) acquired
INFO: 2023-01-26 22:24:23,223: 0 Tweet(s) acquired
INFO: 2023-01-26 22:25:24,211: 0 Tweet(s) acquired
INFO: 2023-01-26 22:26:25,247: 0 Tweet(s) acquired
INFO: 2023-01-26 22:27:26,240: 0 Tweet(s) acquired
INFO: 2023-01-26 22:28:27,238: 0 Tweet(s) acquired
INFO: 2023-01-26 22:29:28,216: 0 Tweet(s) acquired
INFO: 2023-01-26 22:30:29,181: 0 Tweet(s) acquired
INFO: 2023-01-26 22:31:30,257: 1 Tweet(s) acquired
INFO: 2023-01-26 22:32:31,288: 0 Tweet(s) acquired
INFO: 2023-01-26 22:33:32,245: 1 Tweet(s) acquired
INFO: 2023-01-26 22:34:33,251: 0 Tweet(s) acquired
INFO: 2023-01-26 22:35:34,275: 0 Tweet(s) acquired
INFO: 2023-01-26 22:36:35,233: 0 Tweet(s) acquired
INFO: 2023-01-26 22:37:36,246: 0 Tweet(s) acquired
INFO: 2023-01-26 22:38:37,215: 0 Tweet(s) acquired
INFO: 2023-01-26 22:39:38,209: 0 Tweet(s) acquired
INFO: 2023-01-26 22:40:39,329: 0 Tweet(s) acquired
INFO: 2023-01-26 22:41:40,231: 0 Tweet(s) acquired
INFO: 2023-01-26 22:42:41,221: 0 Tweet(s) acquired
INFO: 2023-01-26 22:43:42,223: 0 Tweet(s) acquired
INFO: 2023-01-26 22:44:43,217: 0 Tweet(s) acquired
